Key,SP,SPn,PE,DJ,DJn,Gold,Goldn,Oil,Oiln,Libor,SPYTD
09-03,925.53,797.87,116.3076,8826.35,7608.92,1041.39,897.75,57.58,49.64,46.589999999999996,0
76-01,447.41,100.86,11.6467,4326.34,975.28,582.23,131.25,49.51,11.16,0,0
09-01,964.63,825.88,120.3907,9345.0,8000.86,1073.98,919.5,48.74,41.73,39.98,0
09-07,1130.66,987.48,78.7464,10501.49,9171.61,1075.16,939.0,79.3,69.26,34.49999999999999,0
09-06,1051.7,919.32,122.4128,9663.37,8447.0,1069.07,934.5,79.87,69.82,36.92,0
09-05,1059.77,919.14,122.3888,9800.88,8500.33,1124.75,975.5,76.46,66.31,31.88,0
09-04,1009.84,872.81,116.2197,9450.51,8168.12,1021.92,883.25,58.25,50.35,38.720000000000006,0
09-09,1207.19,1057.08,84.2967,11091.42,9712.28,1159.99,1015.75,80.47,70.46,27.92,0
09-08,1166.57,1020.62,81.3892,10854.25,9496.28,1092.14,955.5,79.98,69.97,28.479999999999997,0
93-12,789.23,466.45,21.3088,6351.92,3754.09,649.1,383.63,24.01,14.19,79.74000000000002,0
93-11,781.35,461.79,21.0959,6233.24,3683.95,632.89,374.05,25.99,15.36,82.94000000000001,0
93-10,792.04,467.83,21.3719,6231.24,3680.59,616.93,364.4,28.73,16.97,74.73,0
89-10,668.47,340.36,14.8824,5194.94,2645.08,720.85,367.03,39.04,19.88,189.47999999999996,0
89-11,677.79,345.99,15.1286,5301.58,2706.27,774.18,395.19,38.93,19.87,182.41,0
89-12,691.25,353.4,15.4526,5385.26,2753.2,800.49,409.25,42.72,21.84,155.91,0
10-07,1245.91,1101.6,15.3298,11836.98,10465.94,1322.14,1169.0,89.18,78.85,24.57,0
20-10,0,0,0,1054.57,85.08,255.71,20.63,0,0,0,0
05-07,1557.54,1234.18,18.5396,13428.83,10640.91,535.69,424.48,76.62,60.71,85.07,0
05-06,1510.61,1191.33,18.8026,13028.66,10274.97,546.08,430.66,71.81,56.63,83.88,0
05-05,1512.01,1191.5,18.8052,13283.23,10467.48,535.35,421.87,66.09,52.08,75.05000000000001,0
05-04,1466.89,1156.85,18.2584,12924.1,10192.51,544.26,429.23,62.39,49.2,78.24999999999999,0
00-01,2037.31,1394.46,27.3692,15984.11,10940.53,415.39,284.32,40.4,27.65,132.59,0
75-07,403.9,88.75,11.4369,3784.2,831.51,751.69,165.17,50.79,11.16,0,0
05-01,1527.38,1181.27,19.5834,13563.49,10489.94,548.27,424.03,62.39,48.25,64.39,0
76-08,442.2,102.91,10.7759,4184.16,973.74,471.72,109.78,52.29,12.17,0,0
05-09,1524.95,1228.81,18.4589,13115.76,10568.7,565.96,456.05,82.17,66.21,92.56,0
05-08,1532.73,1220.33,18.3315,13164.89,10481.6,550.04,437.93,86.2,68.63,93.87999999999998,0
10-06,1166.76,1030.71,15.3608,11064.19,9774.02,1397.45,1234.5,85.57,75.59,26.15,0
16-06,2147.13,2098.86,24.147,18342.38,17929.99,1350.97,1320.6,49.44,48.33,27.703400000000002,0
01-09,1439.62,1040.94,36.7693,12236.18,8847.56,391.97,283.42,32.42,23.44,62.269999999999996,0
69-01,713.76,103.01,17.6993,6555.18,946.05,290.19,41.88,21.27,3.07,0,0
56-09,408.24,45.35,13.1069,4278.2,475.25,317.86,35.31,25.39,2.82,0,0
90-12,608.93,330.22,15.4742,4856.47,2633.66,696.46,377.69,52.52,28.48,146.07,0
90-10,561.79,304.0,14.2455,4513.43,2442.33,702.96,380.39,65.25,35.31,188.51,0
90-11,594.17,322.22,15.0993,4719.99,2559.65,703.91,381.73,53.62,29.08,176.57999999999998,0
10-09,1288.41,1141.2,15.8809,12179.71,10788.05,1460.93,1294.0,90.26,79.95,17.68,0
84-04,382.84,160.05,9.8796,2800.43,1170.75,911.14,380.91,73.24,30.62,0,0
11-11,1359.19,1246.96,14.3411,13129.79,12045.68,1903.14,1746.0,109.39,100.36,22.009999999999998,0
00-11,1863.28,1314.95,26.299,14757.33,10414.49,376.94,266.01,47.63,33.61,147.0,0
84-05,359.21,150.55,9.2932,2636.17,1104.85,901.45,377.81,72.82,30.52,0,0
13-01,1604.48,1498.11,17.0822,14844.68,13860.58,1782.95,1664.75,104.58,97.65,17.910000000000007,0
00-10,2026.89,1429.4,28.588,15557.08,10971.14,382.86,270.0,46.37,32.7,148.23999999999995,0
97-10,1395.71,914.62,23.0267,11356.64,7442.1,494.97,324.36,32.2,21.1,137.88000000000002,0
11-10,1364.84,1253.3,14.414,13019.01,11955.01,1875.26,1722.0,101.48,93.19,19.090000000000003,0
68-06,707.81,99.58,17.8779,6381.56,897.8,286.52,40.31,21.82,3.07,0,0
68-07,690.83,97.74,17.2686,6241.04,883.0,284.91,40.31,21.7,3.07,0,0
27-10,0,0,0,2576.2,181.73,294.15,20.75,0,0,0,0
88-04,550.36,261.33,12.0595,4280.09,2032.33,951.11,451.62,38.12,18.1,148.24999999999997,0
